address,name,online_order,book_table,rate,votes,phone,location,rest_type,cuisines,approx_cost(for two people),menu_item,listed_in(type),listed_in(city)
"466, G 80 Feet Main Road ,Opposite koramangala Bus Depo, Koramangala 6th Block, Bangalore",Indore Eat Restaurant,No,No,4.0/5,72,+91 8310114053,Koramangala 6th Block,Quick Bites,"Street Food, South Indian",100,"['Filter Coffee', 'Pizza Dosa', 'Lassi', 'Coffee', 'Chaat']",Delivery,BTM
"1st Floor, 1st Cross, Next To Bosch Back Gate, Near Someshwara Swamy Temple, Adugodi, Koramangala 7th Block, Bangalore",Bombay Sandwich Company,Yes,No,3.7/5,33,"080 41202278
+91 7829745705",Koramangala 7th Block,Delivery,"Sandwich, Beverages",400,"['Pancakes', 'Chicken Wings', 'Vegetarian', 'Pav Bhaji', 'Faluda']",Delivery,BTM
"13,1st Main Road, Bharathi Layout, Venkateshwara Layout, Suddagunte Palya, BTM, Bangalore",Cafe Alchemist,Yes,No,3.8/5,61,"+91 8075303678
+91 8547107975",BTM,Quick Bites,"Fast Food, Juices",300,"['Bruschettas', 'Faluda', 'Lassi', 'Palak Paneer', 'Biryani']",Delivery,BTM
"2nd Cross, Venkateshwara Layout, Tavarekere Main Road, BTM, Bangalore",Sri Krishna Kitchen,Yes,No,3.6/5,41,"+91 8123206884
+91 9663539479",BTM,Quick Bites,Fast Food,400,"['Chilli Chicken', 'Paneer Pizza', 'Pizza Fries', 'Salads', 'Sandwiches']",Delivery,BTM
"1006, 7th Main, 1st Block, 80 Feet Road, Koramangala 1st Block, Bangalore",Lucknowiz,Yes,No,3.5/5,323,"+91 8861997764
+91 7259617123",Koramangala 1st Block,Quick Bites,"Lucknowi, Chinese",500,"['Biryani', 'Poha', 'Naan', 'Fish', 'Breakfast Buffet']",Delivery,BTM
"716/B, 80, 17th B Main Road, Koramangala Club Road, Koramangala 6th Block, Bangalore",Rolls Mania,Yes,No,3.7/5,32,+91 8095750066,Koramangala 6th Block,Quick Bites,"Fast Food, Rolls",450,"['Malai Tikka', 'Cheese Corn Balls', 'Rolls', 'Fries', 'Beda Roti']",Delivery,BTM
"219, 7th Block, Koramangala 7th Block, Bangalore",Barbeque Station,Yes,No,2.8/5,151,"+91 9739594937
080 40979004",Koramangala 7th Block,Casual Dining,"North Indian, Chinese, BBQ",700,"['Jalebi', 'Pad Thai', 'Butter Chicken', 'Beer', 'Brownie Chocolate']",Delivery,BTM
"366, 1st Main, 7th Cross, Koramangala 7th Block, Bangalore",Sweet Chariot,Yes,No,4.0/5,186,"080 41216704
080 41216705",Koramangala 7th Block,"Bakery, Dessert Parlor","Bakery, Fast Food",500,"['Burgers', 'Pancakes', 'Chicken Biryani', 'Chocolate Chip Cookie', 'Churros']",Delivery,BTM
"1086, Twin Tulips Building, 18th Cross Road, 14th Main, Sector 4, HSR, Bangalore",Cupcake Bliss,Yes,No,3.4/5,4,+91 8197170008,HSR,Delivery,Bakery,250,"['Coffee', 'Sandwich', 'Cup Cake', 'Pan Cake', 'Sandwiches']",Delivery,BTM
"234, 16th Main, 22nd Cross, 3rd Sector, Next HSR Club, HSR, Bangalore",HSR SLV Fast Food,Yes,No,3.7/5,33,"+91 9900928489
+91 9731594432",HSR,Quick Bites,"South Indian, Fast Food",200,"['Fiery Potato', 'Tea', 'Mutton Fry', 'Masala Dosa', 'French Fries']",Delivery,BTM
"18th Cross, Near Reliance Digital, Sector 3, HSR, Bangalore",The Waffles Hut,Yes,No,4.1/5,162,"080 25722900
+91 9108873135",HSR,Dessert Parlor,Desserts,400,"['Vegetable Biryani', 'Macaroon', 'Coffee', 'Burgers', 'Hot Chocolate']",Delivery,BTM
"61, 4th Floor, 1st Main, 7th Block, Koramangala 7th Block, Bangalore",Gam's Delicacy,Yes,Yes,4.2/5,325,"080 64555224
+91 9742818247",Koramangala 7th Block,Casual Dining,"North Indian, Chinese, Assamese",800,"['Chicken Boneless Biryani', 'Noodles', 'Lime Soda', 'Pizza', 'Chicken Curry']",Delivery,BTM
"4/A,Chikka Adugodi,1st Main Road, Taverekerre Main Road, BTM, Bangalore",Indian Paratha Factory,Yes,No,2.9/5,24,+91 9108091606,BTM,Quick Bites,North Indian,250,"['Deluxe Punjabi Thali', 'Paneer Tikka Masala', 'Andhra Meal', 'Corn Fry', 'Aloo Paratha']",Delivery,BTM
Delivery Only,Aligarh House,Yes,No,4.4/5,98,+91 8042166111,Koramangala,Delivery,"North Indian, Biryani, Awadhi, Mughlai",400,"['Beer', 'Egg Biryani', 'Butter Chicken', 'Dum Biryani', 'Paneer Lababdar']",Delivery,BTM
"638, Honngasandra Devarchikkana Halli Main Road, Bommanahalli, Bangalore",Domino's Pizza,Yes,No,3.9/5,419,"080 46809888
18602100000",Bommanahalli,Quick Bites,"Pizza, Fast Food",800,"['Peppy Paneer', 'Rolls', 'Chocolate Fantasy', 'Sandwich', 'Pasta']",Delivery,BTM
"915, Ground Floor, 80 Feet Road, Koramangala 6th Block, Bangalore",Go Italia,Yes,No,4.0/5,777,"080 41515858
+91 9611639043",Koramangala 6th Block,Casual Dining,"Italian, Pizza, Fast Food, Salad",750,"['Ginger Lime Mojito', 'Cocktails', 'Mexican Rice', 'Veg Shammi', 'Pizza']",Delivery,BTM
740 7th cross 17th B main Koramangala Bangalore,Waikiki740,Yes,No,3.6/5,14,+91 9844002692,Koramangala 6th Block,,Parsi,400,"['Cocktails', 'Chips', 'Berry Pulao', 'Crispy Okra', 'Brownie Chocolate']",Delivery,BTM
"1158, 5th Main, 20th Cross, 7th Sector, HSR, Bangalore",Southinn,Yes,No,3.8/5,190,"00 08025720213
+91 9686967908",HSR,Quick Bites,"South Indian, Fast Food, Chinese, North Indian, Street Food",250,"['Paneer Parantha', 'Vada Pav', 'Chaat', 'Tea', 'Beer']",Delivery,BTM
"L 139, 5th Main, 5th Cross, 6th Sector, HSR, Bangalore",Juice Junction,Yes,No,3.7/5,17,+91 6362683904,HSR,Beverage Shop,"Juices, Fast Food",200,"['Mocktails', 'Methi Murg', 'Donne Biryani', 'Sandwich', 'Popcorn']",Delivery,BTM
"104, Vijay Jatti Building, Industrial Area, Koramangala 5th Block, Bangalore",Ulavacharu,Yes,Yes,NEW,0,080 49653538,Koramangala 5th Block,Casual Dining,"Andhra, North Indian, Chinese",900,"['Garlic Chicken', 'Chicken Curry', 'Butter Chicken', 'Lassi', 'Chicken Dum Biryani']",Delivery,BTM
"27/4, Outer Ring Road, Stage 2, BTM, Bangalore",Fattoush,Yes,No,4.1/5,1272,,BTM,Casual Dining,"Arabian, Mughlai, Biryani, North Indian, Chinese, Seafood",900,"['Whole Meat Shawarma', 'Mutton Mandi', 'Thali', 'Sea Food', 'Kung Pao Chicken']",Delivery,BTM
"15, 16th Main Road, BTM Layout, 1st Stage, 1st Phase, BTM, Bangalore",Ghee Biryani House,Yes,No,3.1/5,7,"+91 9538833223
+91 9742044034",BTM,Quick Bites,"North Indian, Biryani, Chinese, Arabian",400,"['Chicken Curry', 'Lassi', 'Crispy Spinach Chicken', 'Dal Makhani', 'Mai Thai']",Delivery,BTM
"1699, 19th Main 26th Cross, 2nd Sector, HSR, Bangalore",EggFactor - Street House,Yes,No,4.1/5,61,+91 9902805592,HSR,Kiosk,Fast Food,200,"['Pizza Sandwich', 'Omelette', 'Hakka Noodles', 'Burgers', 'French Fries']",Delivery,BTM
"Shop 50, Koramangala 5th Block, Bangalore",Smoke de Burger,Yes,No,3.6/5,36,+91 9591066373,Koramangala 5th Block,Quick Bites,Fast Food,300,"['Fried Cheese', 'Pizza', 'Egg Masala', 'Murgh Makhani', 'Mutton Chops']",Delivery,BTM
"177, Bhumi complex, 9th Main, 7th Sector, Opposite Union Bank, HSR, Bangalore",Flavours Hut,Yes,No,3.5/5,8,+91 8042021617,HSR,Casual Dining,"Kerala, North Indian, Chinese, Seafood",550,"['Dal Makhani', 'Sea Food', 'Akki Rottis', 'Supreme Pizza', 'Paneer Tikka Masala']",Delivery,BTM
"1st Floor, 1st Cross, Near Someshwara Swamy Temple, Adugodi, Koramangala 7th Block, Bangalore",World In A Bowl,Yes,No,3.6/5,20,"080 41202278
+91 7829745705",Koramangala 7th Block,Delivery,"Continental, North Indian, Desserts, Beverages",600,"['Burgers', 'Paneer Tikka', 'Brownie Chocolate', 'Coffee', 'Guava Ice Cream']",Delivery,BTM
"583, 80 Feet Road, Opposite Bethany High School, Koramangala 8th Block, Banglore",Blue Tokai Coffee Roasters,Yes,No,NEW,0,+91 9319970404,Koramangala 8th Block,Cafe,"Cafe, Coffee",400,"['Mutton Burger', 'Potato Wedges', 'Hot Chocolate', 'Mocktails', 'Badam Milk']",Delivery,BTM
"HSR Club Road, Sector 3, HSR, Bangalore",Sri Gurudev Darshini,Yes,No,3.4/5,13,+91 9845514940,HSR,Quick Bites,South Indian,150,"['Chicken Kebab', 'Mutton Fry', 'Biryani', 'Butter Naan', 'Aloo Palya']",Delivery,BTM
"956, N.S Plaza, 16th Main Road, 2nd Stage, BTM, Bangalore",Beijing Bites,Yes,No,3.7/5,479,"080 42093688
080 42093788",BTM,Casual Dining,"Chinese, Thai",850,"['French Fries', 'Enchiladas', 'Clear Soup', 'Tandoori Chicken', 'Masala Fries']",Delivery,BTM
"Royal Space 1537, 5th Main Road, Rajiv Gandhi Nagar, HSR, Bangalore",Trio Dosa Connect,Yes,No,,0,+91 9902638833,HSR,Quick Bites,"South Indian, Beverages",300,"['Chicken Sukha', 'Chaat', 'Pineapple Passion', 'Vada', 'Biryani']",Delivery,BTM
"927 H, 1st Floor, 1st A Main, Koramangala 4th Block, Bangalore",The Paratha Company,Yes,No,4.3/5,287,+91 6362566513,Koramangala 4th Block,Delivery,North Indian,400,"['Rolls', 'Caramel Pudding', 'Butter Chicken', 'Dal Makhani', 'Cocktails']",Delivery,BTM
"88, Celler Floor, 17th Cross, 14th Main, Sector 4, HSR, Bangalore",Frozen Bottle,Yes,No,4.2/5,182,+91 8123232385,HSR,Beverage Shop,"Beverages, Desserts, Ice Cream",400,"['Fudge Cake', 'Nutella Pancakes', 'Rava Idli', 'Choco Death', 'Prompt Service']",Delivery,BTM
"5, 1st Main, Jakkasandra Extension, Koramangala 1st Block, Bangalore",Mangala Hotel,Yes,No,3.6/5,96,"+91 9886998474
080 40944279",Koramangala 1st Block,Quick Bites,"Kerala, Chinese, North Indian",300,"['Biryani', 'Panneer Butter Masala', 'Crabmeat Soup', 'Cocktails', 'Kerala Parotta']",Delivery,BTM
"Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",Momo Blues,Yes,No,NEW,0,+91 8296129143,Koramangala 5th Block,Quick Bites,"Chinese, Momos, Nepalese, Tibetan",200,"['Chilli Momo', 'Thali', 'Thukpa', 'Schezwan Momos', 'Cheese Momos']",Delivery,BTM
"780, 19th Main, 17th Cross, Sector-1, VCR Cornerstone, HSR, Bangalore",Purnabramha Maharashtrian Restaurant,Yes,No,3.7/5,829,+91 8550078515,HSR,Casual Dining,Maharashtrian,850,"['Tawa Pulav', 'Kadhi', 'Misal Pav', 'Puran Poli', 'Sabudana Vada']",Delivery,BTM
"Plot 21, Next to Lifestyle, Inner Ring Road, Koramangala 4th Block, Bangalore",Taste of Assam,Yes,No,3.2/5,23,+91 9886941271,Koramangala 4th Block,Quick Bites,"Assamese, North Indian, Chinese",400,"['Lime Soda', 'Paratha', 'Jasmine Rice', 'Mocktails', 'Hakka Noodles']",Delivery,BTM
"Near AVS School, Cashier Layout, BTM, Bangalore",Nadan Thattukada,Yes,No,3.7/5,35,,BTM,Quick Bites,"Kerala, Chinese",200,"['Masala Papad', 'Chicken Kebab', 'Paratha', 'Tea', 'Fish Curry']",Delivery,BTM
"127/4, 5th Block, KHB MIG Colony, Near Jyothi Nivas College, Koramangala 5th Block, Bangalore",Juice Junction,Yes,No,3.9/5,69,080 40927571,Koramangala 5th Block,"Beverage Shop, Quick Bites","Juices, Fast Food",150,"['Sandwiches', 'Mango Shake', 'Raagi Roti', 'Kharabath', 'Blueberry Cheese Cake']",Delivery,BTM
"5th Main, Sector 7, HSR, Bangalore",Shanmukha,Yes,No,4.0/5,985,080 49653004,HSR,Casual Dining,"Biryani, Andhra, North Indian, Chinese",800,"['Hyderabadi Chicken Biryani', 'Paratha', 'Biryani', 'Rice', 'Naan']",Delivery,BTM
"L 141, 5th Main, Sector 6, HSR, Bangalore",Rajesh Restaurant,Yes,Yes,3.5/5,59,"+91 8095457454
+91 7090207707",HSR,Casual Dining,"North Indian, Chinese, South Indian, Continental",700,"['Chicken Momo', 'Noodles', 'Vada', 'Pasta', 'Buttermilk']",Delivery,BTM
"35/36, Venkatapura Main Road, Koramangala 1st Block, Bangalore",Akshaya Bar And Restaurant,Yes,No,NEW,0,+91 9845792109,Koramangala 1st Block,"Casual Dining, Bar","North Indian, South Indian, Chinese, Fast Food",600,"['Mutton Biryani', 'Cheese Maggi', 'Thali', 'Ghee Masala Dosa', 'Vada Pav']",Delivery,BTM
"6, 1st Floor, 7st, Brigade Millennium Ave, New Extension, NS Palya, Stage 2, BTM Layout, Bangalore",Ovenstory Pizza,Yes,No,4.0/5,144,18002700913,BTM,Delivery,Pizza,750,"['Sandwiches', 'Tiramisu', 'Pizza', 'Penne Pasta', 'Fish']",Delivery,BTM
"410, 1st C Main Road, Koramangala 7th Block, Bangalore",Hotel Parampare,Yes,No,2.9/5,13,+91 9980197711,Koramangala 7th Block,Casual Dining,"North Indian, Mughlai, Biryani",600,"['Non Veg Thali', 'Butter Chicken', 'Orange Juice', 'Vegetable Biryani', 'Mutton Biryani']",Delivery,BTM
"1016, 1st Floor, 80 Feet Road, Koramangala 1st Block, Bangalore",Koshe Kosha,Yes,No,4.0/5,571,+91 9830949494,Koramangala 1st Block,Casual Dining,"Bengali, Seafood",600,"['Mocktails', 'Fish', 'Chop Suey', 'Murgh Ghee Roast', 'Mutton Biryani']",Delivery,BTM
"181, Below Muthoot Fincorp, 9th Main Road, Sector 7, HSR Layout, Bangalore",Village Kitchen,Yes,No,,0,+91 7022704592,HSR,Quick Bites,"South Indian, Kerala, Chinese",250,"['Pepper Chicken', 'Kulcha', 'Chaat', 'Masala Dosa', 'Manchow Soup']",Delivery,BTM
"41, Ground Floor, 100 Feet Road, 17th Main, Koramangala 4th Block, Bangalore",Petoo,Yes,No,4.0/5,59,080 43752124,Koramangala 4th Block,Quick Bites,"North Indian, South Indian",300,"['Roti', 'Noodles', 'Masala Dosa', 'Ghee Rice', 'Fry Prawns']",Delivery,BTM
"NH Cardio Center, NH Health City, 258/A Ground floor, Bommasandra Industrial Area, Hosur Road, Bangalore",Chai Point,Yes,No,,0,+91 8880141000,Hosur Road,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",250,"['Crunchy Veg Burger', 'Chicken Wings', 'Pasta', 'Thick Shakes', 'Chicken Sandwich']",Delivery,BTM
"2nd cross, Behind Anjaneya Temple, Opposite Prestige PG, VP Road, Madiwala, BTM, Bangalore",Body Temple,Yes,No,3.3/5,12,+91 9033435979,BTM,Quick Bites,Healthy Food,500,"['Fish', 'Salad', 'Spaghetti', 'Pizza', 'Chai']",Delivery,BTM
"44, 7th Cross, 12th Main, 6th Sector, HSR Layout, HSR, Bangalore",Ambur Star Briyani,Yes,No,2.8/5,227,"+91 8553007373
080 25720796",HSR,Quick Bites,"Biryani, Kebab",500,"['Noodles', 'Butter Chicken', 'Paneer Tikka Masala', 'Rolls', 'Hyderabadi Chicken Biryani']",Delivery,BTM
"40, Estilo Canta, 1st Main, Koramangala 1st Block, Bangalore",Golden China,Yes,No,3.6/5,22,+91 9886475660,Koramangala 1st Block,Quick Bites,Chinese,300,"['Sweet Corn Soup', 'Tomato Soup', 'Panneer Butter Masala', 'Coffee', 'Grilled Lamb']",Delivery,BTM
"115, 31st Main, 2nd Stage, Behind Bus Stand, BTM , Bangalore",Abhiruchi Hotel,Yes,No,3.5/5,735,"080 41434999
080 64245555",BTM,Casual Dining,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",600,"['Lassi', 'Bbq Mushroom', 'Raita', 'Hot Coffee', 'Vada']",Delivery,BTM
"Ground Floor,Hotel Pent House,near hyderabadi biriyani house, Koramangala 5th Block, Bangalore",Chai Makhani,Yes,No,3.5/5,11,+91 7353891902,Koramangala 5th Block,Beverage Shop,"Beverages, Tea",100,"['Sandwiches', 'Chicken Grill', 'Decor', 'Pasta', 'Chai']",Delivery,BTM
"1, 19th Main, Near Kumariamma Temple, Tavarekere Main Road, 1st Stage, BTM, Bangalore",Nawab-E-Khana,Yes,No,3.2/5,30,"+91 9886186082
+91 9886185601",BTM,Quick Bites,"North Indian, Biryani",500,"['Vada Pav', 'Paneer Manchurian', 'Lassi', 'Paneer Tikka Masala', 'Bbq Burger']",Delivery,BTM
"376, Ground Floor, Trinity Square, 14th B Cross, 5th Main, Sector 6, HSR, Bangalore",Mr. Meetharam,Yes,No,2.8/5,75,"080 41238910
080 65332277",HSR,,"Mithai, Street Food",150,"['Rasmalai', 'Rasgulla', 'Biryani', 'Panipuri', 'Moong Dal Halwa']",Delivery,BTM
"1024, 1st Block, Koramangala Bangalore",The Wok Shop,Yes,No,4.1/5,270,"080 41510106
+91 9060355962",Koramangala 1st Block,Quick Bites,"Asian, Chinese, Momos, Fast Food, Indonesian, Korean",500,"['Chicken Dim Sum', 'Kesari Bath', 'Jumbo Prawns', 'Chop Suey', 'Rice Bowl']",Delivery,BTM
"7, 8th Cross, Jakkasandra, Koramangala 1st Block, Bangalore",Maa Di Hatti,Yes,No,2.8/5,137,"+91 9513571091
+91 9513571090",Koramangala 1st Block,Quick Bites,North Indian,500,"['Lassi', 'Mint Raita', 'Sea Food', 'Caramel Custard', 'Jalebi']",Delivery,BTM
"2, 1st Floor, 4th Cross, Jakkasandra Extension, Sarjapur Road, Near Ujivan Finance Bank, Koramangala 1st Block, Bangalore",Bakingo,Yes,No,4.0/5,74,080 45128823,Koramangala 1st Block,Bakery,"Bakery, Desserts",500,"['Sandwiches', 'Blueberry Cake', 'French Fries', 'Chicken Wings', 'Waffles']",Delivery,BTM
"2/21, 100 Feet Ring Road, BTM 1st Stage Near By HDFC Bank, BTM, Bangalore",Sri Sapana Dhaba,Yes,No,3.3/5,9,+91 7411562150,BTM,Quick Bites,North Indian,250,"['Chicken Curry', 'Baklava', 'Appam', 'Corn Paratha', 'Mutton Bone Soup']",Delivery,BTM
"149, Someshwara Temple Road, Koramangala 7th Block, Bangalore",Zeeshan,Yes,No,3.8/5,214,"080 40974055
080 41737866",Koramangala 7th Block,Casual Dining,"North Indian, Kebab, Biryani, Rolls",700,"['Paratha', 'Appam', 'Samosa', 'Sandwiches', 'Egg Roll']",Delivery,BTM
"436, 17 Cross Road, Sector 4, HSR, Bangalore",Seven Ate Nine,Yes,No,NEW,0,"+91 9686302222
+91 9686802222",HSR,Casual Dining,"North Indian, Steak, South Indian",700,"['Fish', 'Chicken Biryani', 'Mocktails', 'Garlic Naan', 'Chicken Handi']",Delivery,BTM
"425, 80ft Road, Koramangala 6th Block, Bangalore",Patiala Highway,Yes,No,3.7/5,31,080 49653580,Koramangala 6th Block,Casual Dining,North Indian,500,"['Shahi Paneer', 'Jalebi', 'Palak Paneer', 'Fries', 'Jal-jeera']",Delivery,BTM
"133, MIG, KHB Colony, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",Hatti Kaapi,Yes,No,3.9/5,237,"+91 8884247518
080 26622374",Koramangala 5th Block,Quick Bites,"South Indian, Beverages",200,"['Appam', 'Idli', 'Brinjal Curry', 'Milk Shake', 'Burrito Bowl']",Delivery,BTM
"100, 12th Cross Road, KEB Layout, Narayan Gowda Layout, 1st Stage, BTM Layout, Bengaluru",World Of Asia,Yes,No,NEW,0,+91 7034881888,BTM,Quick Bites,Asian,300,"['Cocktails', 'Paneer Satay', 'Chocolate Volcano', 'Pizza', 'Creme Brulee']",Delivery,BTM
"100 Feet Ring Road, 1st Phase BTM, Bangalore",Empire Restaurant,Yes,No,3.9/5,95,080 43334321,BTM,"Takeaway, Delivery","Kerala, Seafood, South Indian, Chinese, North Indian, Charcoal Chicken, Beverages",400,"['Fries', 'Biryani', 'Shawarma', 'Hot Chocolate', 'Chai']",Delivery,BTM
"160/A, 1st Main Road, 7th Block, Koramangala 7th Block, Bangalore",Meat And Eat,Yes,No,3.6/5,90,+91 8043009665,Koramangala 7th Block,Quick Bites,"Fast Food, Burger",500,"['Chicken Wrap', 'Popcorn', 'Burgers', 'Veg Paprika', 'Exotic Garlic Bread']",Delivery,BTM
"150, 5th Cross, 5th Block, KHB Colony, Koramangala 5th Block, Bangalore",Juice Junction,Yes,No,4.0/5,138,080 25526983,Koramangala 5th Block,"Beverage Shop, Quick Bites","Juices, Fast Food, South Indian, Chinese",150,"['Sandwiches', 'Maggi', 'Long Island Iced Tea', 'Roti', 'Kheer']",Delivery,BTM
"No. 157, shop #6, 1st floor, 2nd cross, yellukunte road, 3rd sector HSR layout, Bangalore:560068",Mynutrikitchen,Yes,No,3.6/5,59,"+91 9886155115
+91 9886420058",HSR,Delivery,"North Indian, Healthy Food",300,"['Idli', 'Roti', 'Pasta', 'Potato Skins', 'Panneer Butter Masala']",Delivery,BTM
"4/1, 100 Feet Road, intermediate Ring Road, Opposite HDFC Bank, Ejipura, Bangalore",Chapati House,Yes,No,3.9/5,33,+91 8126045111,Ejipura,Quick Bites,North Indian,300,"['Fiery Paneer', 'Paratha', 'Dal Fry', 'Fish Curry', 'Chaap']",Delivery,BTM
"1, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",Easy Bites,Yes,No,4.1/5,74,080 43334321,BTM,"Takeaway, Delivery","Fast Food, Sandwich",300,"['Veg Cheese Sandwich', 'Chilli Chicken', 'Tomato Soup', 'Ferrero Rocher', 'Sweet Lassi']",Delivery,BTM
"#4, 2nd Main Road, Opposite Koramangala Police Station, Koramangala 8th Block, Bangalore",Shree Durgamba Juice Centre,Yes,No,3.1/5,9,+91 9164602164,Koramangala 8th Block,Beverage Shop,Beverages,200,"['Chocolava', 'Thalassery Biryani', 'Chocolate Peanut Butter', 'Vanilla Ice Cream', 'Paneer Tikka Pizza']",Delivery,BTM
"1st Floor, 1st Cross, Besides Bosch, Koramangala 7th Block, Bangalore",InnerChef,Yes,No,3.9/5,152,"080 41202278
+91 7829745705",Koramangala 7th Block,Delivery,"North Indian, Continental",500,"['Pesto Pizza', 'Mushroom Nuggets', 'Pasta', 'Paratha', 'Panneer Butter Masala']",Delivery,BTM
"Ground Floor, Forum Mall, Hosur Road, Koramangala 7th Block, Bangalore",Smoor,Yes,No,4.2/5,600,"080 22067901
+91 9902588030",Koramangala 7th Block,Dessert Parlor,"Desserts, Beverages",900,"['Palak Chicken', 'Sandwich', 'Masala Chai', 'Cheesy Chicken Burger', 'Brownie Shake']",Delivery,BTM
"Twin Tulips, 1086/A, Near BDA Complex, 18th Cross Road, 14th Main, Sector 3, HSR, Bangalore",Parika Multicuisine & Coastal Fine Dine,Yes,Yes,3.9/5,601,080 49653159,HSR,Casual Dining,"Mangalorean, Seafood, North Indian, Chinese","1,000","['Curry Leaf Chicken', 'Lime Soda', 'Sea Food', 'Fish', 'Mocktails']",Delivery,BTM
"Shop 45, 17th Main, 100 ft Road, Opposite Shanthi Sagar, Koramangala 4th Block, Bangalore",Foody's Land,Yes,No,NEW,0,+91 9104208995,Koramangala 4th Block,Quick Bites,Fast Food,300,"['Bread Omelette', 'Cheese Sandwich', 'Cheesecake', 'Honey Chilli Potatoes', 'Omelette']",Delivery,BTM
"1, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",Al-Bek,Yes,No,3.9/5,169,080 43334333,BTM,"Takeaway, Delivery","Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",450,"['Malai Kofta', 'Noodles', 'Mutton Biryani', 'Thali', 'Gulab Jamun']",Delivery,BTM
"15/1, 4th Cross, 4th Block, 80 Feet Road, Near Sony signal, Koramangala 4th Block, Bangalore",The Rendezvous,Yes,No,3.7/5,483,"080 41132655
080 25631177",Koramangala 4th Block,Casual Dining,"Continental, Steak, Chinese, Salad, Desserts, Seafood, Italian",800,"['Blueberry Mojito', 'Paneer Tikka', 'Waffles', 'Crispy Pork', 'Tandoori Chicken']",Delivery,BTM
"8, 3rd A Cross, 31st Main, 2nd Stage, BTM, Bangalore",Speedbreaker,Yes,No,3.4/5,14,"+91 9980399477
+91 8660933013",BTM,Quick Bites,North Indian,300,"['Kulcha', 'Lamb', 'Pulled Pork', 'Butter Chicken', 'Chicken Lollipop']",Delivery,BTM
"18, 4th Main, 14th Cross, 4th Link Road, Maruthi Nagar, Madiwala, BTM, Bangalore",Biryani Pot,Yes,No,3.8/5,1071,080 49652177,BTM,Casual Dining,Biryani,500,"['Raita', 'Paneer Biryani', 'Donne Biryani', 'Gundappa Donne Biryani', 'Chicken Biryani']",Delivery,BTM
"606, 20th Main Road, Koramangala 6th Block, Bangalore",Hotel Tom's Restaurant,Yes,No,4.1/5,66,+91 8660743584,Koramangala 6th Block,Casual Dining,"Mangalorean, Seafood, Chinese, North Indian","1,000","['Corn Pakoda', 'Sweet Corn Soup', 'Mutton Chops', 'Jeera Rice', 'Chicken Dum Biryani']",Delivery,BTM
"1216, Ground Floor, 14th Main, 3rd Sector, HSR, Bangalore",Grapevine,Yes,Yes,4.1/5,732,"+91 8971470114
+91 9940693011",HSR,Cafe,"Cafe, Continental, Italian, Beverages, Mediterranean","1,200","['Pita Bread', 'Mezze Platter', 'Burgers', 'Beef Stroganoff', 'Chicken Baguette']",Delivery,BTM
"1st Floor, 1st Cross, Besides Bosch, Koramangala 7th Block, Bangalore",YumYumSouth,Yes,No,3.5/5,36,"080 41202278
+91 7829745705",Koramangala 7th Block,Delivery,South Indian,600,"['Idli Vada', 'Paneer Biryani', 'Tandoori Chicken', 'Caramel Coffee', 'Banana Leaf Meal']",Delivery,BTM
"104/2, 1st Cross, 20th Main, Maruthi Nagar Main Road, 1st Stage, BTM, Bangalore",New Tasty Cafeteria,Yes,No,3.8/5,376,"080 26841198
+91 8904516291",BTM,Quick Bites,"North Indian, Chinese, Arabian, Rolls, Juices",500,"['Mocktails', 'Chicken Wings', 'Lemon Soda', 'Butter Chicken', 'Salads']",Delivery,BTM
"20th Cross, 1st Stage, BTM, Bangalore",KKR Foodies,Yes,No,3.7/5,37,+91 9620388962,BTM,Casual Dining,"Biryani, Chinese, Fast Food, North Indian",400,"['Sandwiches', 'Biryani', 'Tandoori Aloo', 'Wheat Beer', 'Plum Cake']",Delivery,BTM
"702, 6th Cross, 3rd Block, Behind BDA Complex, Koramangala 3rd Block, Bangalore",Sagar Fast Food,Yes,No,4.0/5,76,+91 9945937823,Koramangala 3rd Block,Quick Bites,"South Indian, North Indian, Fast Food",300,"['Chocolate Waffles', 'Waffles', 'Paneer Tikka', 'Shawarma', 'Chilli Cheese Fries']",Delivery,BTM
"1004, Wipro Signal, 80 Feet Road, 1st Block, Koramangala 1st Block, Bangalore",Cafe Terra,Yes,No,4.1/5,778,"080 41313553
+91 9739477277",Koramangala 1st Block,Cafe,"Cafe, Continental",700,"['Fish', 'Mushroom Soup', 'Pasta', 'Chocolate Muffin', 'Fries']",Delivery,BTM
"Opposite Salapuria Serenity, Sector 7, HSR, Bangalore",Paani Kum Chai,Yes,No,,0,+91 9035411141,HSR,Beverage Shop,"Tea, Beverages",100,"['Coffee', 'Chocolate Cake', 'Sandwich', 'Ginger Tea', 'Custard Apple']",Delivery,BTM
